,year,title,ratings,madeit,reviews,photos,submitter_description,ingredients,readyin,servings,nutrition,calories,fat,carbohydrate,protein,carbohydrates,instructions
297,,Avocado Toast and Egg for One,,,,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F7897357.jpg,,"['1 small shallot, thinly sliced into rings', '1 tablespoon red wine vinegar', '1 pinch salt to taste', '1 small avocado, pitted and peeled', '¼ lime, juiced', '1 egg', '1 tablespoon white vinegar', '1 pinch freshly ground black pepper to taste', '1 slice whole-grain crusty bread', '1 pinch Aleppo pepper, to taste']",0,1 avocado toast,"          443.1 calories;           14.2 g protein;           34 g carbohydrates;           186 mg cholesterol;           374.5 mg sodium.        Full Nutrition
",,,,,,"Combine shallot, red wine vinegar, and a pinch of salt in a bowl; set aside. Mash avocado with lime juice and salt in a second bowl.

Heat 2 to 3 inches of water in a small, shallow saucepan until boiling. Add vinegar and reduce heat to a light simmer. Crack egg into a small ramekin and lower it to the surface of the water, carefully easing it out of the ramekin into the simmering water. Poach egg until white is completely set and yolk is slightly soft, 3 to 4 minutes. Remove with a slotted spoon and transfer to a paper-towel lined plate. Sprinkle with salt and pepper.

Toast bread to your liking and remove to a plate. Top with mashed avocado, some of the pickled shallot, and poached egg. Sprinkle with aleppo pepper and serve immediately.
"
298,,Air Fryer Chicken Thighs,,,,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F7613983.jpg,,"['4 eaches skin-on, boneless chicken thighs', '2 teaspoons extra-virgin olive oil', '1 teaspoon smoked paprika', '¾ teaspoon garlic powder', '½ teaspoon salt', '½ teaspoon ground black pepper']",0,4 servings,"          213.4 calories;           19.3 g protein;           0.9 g carbohydrates;           70.9 mg cholesterol;           355.2 mg sodium.        Full Nutrition
",,,,,,"Preheat an air fryer to 400 degrees F (200 degrees C).

Pat chicken thighs dry with a paper towel and brush the skin-side of each piece with olive oil. Place chicken thighs, skin-side down, in a single layer on a plate.

Combine smoked paprika, garlic powder, salt, and pepper in a bowl and sprinkle half the seasoning mixture evenly over the 4 chicken thighs. Turn thighs over and evenly sprinkle remaining seasoning mixture on top. Place chicken thighs in the air fryer basket in a single layer, skin-side up.

Fry in the preheated air fryer until chicken is brown and juices run clear, about 18 minutes. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C).
"
299,,Sugar Cookies I,,,,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F8143.jpg,,"[""1 ½ cups confectioners' sugar"", '1 cup butter', '1 egg', '1 teaspoon vanilla extract', '2 ½ cups all-purpose flour', '1 teaspoon baking soda', '1 teaspoon cream of tartar', '3 tablespoons white sugar for decoration']",0,5 dozen,"          123.4 calories;           1.4 g protein;           15.3 g carbohydrates;           22.5 mg cholesterol;           88.2 mg sodium.        Full Nutrition
",,,,,,"In a large bowl, beat the confectioners' sugar with butter until smooth. Stir in the egg and vanilla. Combine the flour, baking soda and cream of tartar; mix into the batter until well blended. Cover and refrigerate dough for 2 to 3 hours.

Preheat oven to 375 degrees F.  Divide dough in half and roll 3/16 inch thick on floured surface. Cut dough with cookie cutters and sprinkle with white sugar. Place cookies onto greased baking sheets.

Bake for 7 to 8 minutes in the preheated oven, or until delicately golden.
"
300,,Taco Salad Pizza,,,,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F6978022.jpg,,"['1 CAULIPOWER® Three Cheese Pizza', '1 serving cooking spray', '½ pound ground beef', '½ cup black beans, rinsed and drained', '⅓ cup water', '¼ cup salsa', '2 tablespoons taco seasoning', '¼ cup shredded pepper Jack cheese', '¼ cup sour cream', '1 tablespoon Mexican-style hot sauce', '1 cup shredded lettuce', '1 Roma tomato, diced', '1 jalapeno pepper, sliced', '2 tablespoons chopped fresh cilantro', '¼ cup tortilla strips']",0,1 pizza,"          427.8 calories;           22.2 g protein;           30.8 g carbohydrates;           77.8 mg cholesterol;           1058 mg sodium.        Full Nutrition
",,,,,,"Preheat the oven to 425 degrees F (220 degrees C).

Spray a skillet with cooking spray. Cook ground beef on medium-high heat until browned, 5 to 7 minutes. Drain off grease. Add black beans, water, salsa, and taco seasoning and cook for about 2 minutes more.

Unwrap pizza and place on a baking sheet. Spread meat and bean mixture evenly over the crust. Add pepper Jack cheese.

Bake in the preheated oven for 10 to 12 minutes.

While pizza is baking, combine sour cream and hot sauce in a small bowl. Transfer to a small zip-top bag and place in the refrigerator.

Allow pizza to cool for about 5 minutes, then top with lettuce, tomato, jalapeno, cilantro, and tortilla strips.

Snip off a corner of the zip-top bag and drizzle the sour cream and hot sauce mixture over the pizza.
"
301,,Marry-Me Chicken,,,,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F6954945.jpg,,"['1 ½ pounds skinless, boneless chicken breast halves', '2 tablespoons butter', '3 cloves garlic, minced', '½ teaspoon dried oregano', '¼ teaspoon ground thyme', '½ cup chicken broth, divided', '½ pound bacon', '1 (16 ounce) package angel hair pasta', '1 tablespoon all-purpose flour', '½ cup freshly shaved Parmesan cheese', '¼ cup whipping cream', '¼ cup chopped sun-dried tomatoes', '1 pinch red pepper flakes', '1 pinch salt to taste']",0,6 servings,"          518.1 calories;           39.7 g protein;           45.2 g carbohydrates;           108.3 mg cholesterol;           798 mg sodium.        Full Nutrition
",,,,,,"Preheat the oven to 350 degrees F (175 degrees C).

Place chicken breasts on a flat work surface. Slice horizontally through the middle, being careful not to cut all the way through to the other side. Open the 2 sides and spread them out like an open book to butterfly.

Melt butter in a large, oven-safe skillet over medium-high heat. Add garlic, oregano, thyme. Saute until fragrant, about 30 seconds. Add chicken and cook until golden brown but not fully cooked, 3 to 4 minutes per side. Pour 1/4 cup chicken broth into the skillet.

Bake in the preheated oven until chicken is no longer pink in the centers and juices run clear, about 15 minutes.

Meanwhile, place bacon in a large skillet and cook over medium-high heat, turning occasionally, until evenly browned, about 10 minutes. Drain bacon slices on paper towels and let cool enough to handle, about 5 minutes; chop.

At the same time, bring a large pot of lightly salted water to a boil. Cook angel hair pasta in the boiling water, stirring occasionally, until tender yet firm to the bite, 4 to 5 minutes. Drain and keep warm.

Remove skillet from the oven and transfer chicken to a plate, reserving juices in the skillet. Keep chicken warm and place skillet on the stovetop.

Whisk flour into the skillet over medium heat. Add remaining chicken broth, Parmesan cheese, and whipping cream. Whisk until combined. Add sun-dried tomatoes, red pepper flakes, and salt. Add bacon and chicken back into the skillet. Serve on top of hot cooked pasta.
"
302,,Green Power Mojito Smoothie,,,,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F4531309.jpg,,"['3 cups ice cubes, or as desired', '2 cups baby spinach leaves, or to taste', '1 (7 ounce) can crushed pineapple', '½ cup water, or to taste', '1 banana, broken into chunks', '1 orange, peeled and segmented', '10 fresh mint leaves, or more to taste', '1 lemon, juiced', '1 lime, juiced']",0,48 ounces,"          93.5 calories;           1.5 g protein;           24.2 g carbohydrates;           0 mg cholesterol;           14 mg sodium.        Full Nutrition
",,,,,,"Blend ice, spinach, pineapple, water, banana, orange, mint, lemon juice, and lime juice in a blender until smooth.
"
303,,Stuffed Green Peppers I,,,,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F452169.jpg,,"['6 green bell peppers', 'salt to taste', '1 pound ground beef', '⅓ cup chopped onion', 'salt and pepper to taste', '1 (14.5 ounce) can whole peeled tomatoes, chopped', '1 teaspoon Worcestershire sauce', '½ cup uncooked rice', '½ cup water', '1 cup shredded Cheddar cheese', '2 (10.75 ounce) cans condensed tomato soup', 'water as needed']",0,6 servings,"          462.8 calories;           27.2 g protein;           35.5 g carbohydrates;           88.6 mg cholesterol;           970.6 mg sodium.        Full Nutrition
",,,,,,"Bring a large pot of salted water to a boil. Cut the tops off  the peppers, and remove the seeds. Cook peppers in boiling water for 5 minutes; drain. Sprinkle salt inside each pepper, and set aside.

In a large skillet, saute beef and onions for 5 minutes, or until beef is browned. Drain off excess fat, and season with salt and pepper. Stir in the tomatoes, rice, 1/2 cup water and Worcestershire sauce. Cover, and simmer for 15 minutes, or until rice is tender. Remove from heat, and stir in the cheese.

Preheat the oven to 350 degrees F. (175 degrees C). Stuff each pepper with the beef and rice mixture, and place peppers open side up in a baking dish. In a medium bowl, combine tomato soup with just enough water to make the soup a gravy consistency. Pour over the peppers.

Bake covered for 25 to 35 minutes, until heated through and cheese is melted and bubbly.
"
304,,Pistachio-Crusted Salmon,,,,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F6046432.jpg,,"['¼ cup crushed pistachios', '2 tablespoons panko bread crumbs', '1 tablespoon grated Parmesan cheese', '1 tablespoon butter, melted', '4 (6 ounce) fillets salmon with skin, center cut', '1 pinch salt and ground black pepper to taste', '2 tablespoons olive oil', '1 tablespoon Dijon mustard', '4 wedge (blank)s lemon wedges']",0,4 servings,"          458.5 calories;           36.2 g protein;           6.8 g carbohydrates;           107.9 mg cholesterol;           322.3 mg sodium.        Full Nutrition
",,,,,,"Preheat the oven to 375 degrees F (190 degrees C).

Combine pistachios, panko bread crumbs, Parmesan cheese, and butter in a small bowl; stir with a fork until evenly combined.

Lightly season salmon fillets with salt and pepper on both sides.

Heat olive oil in a large oven-safe skillet over medium heat. Sear salmon fillets, flesh-side down, for 2 to 3 minutes. Turn heat off and flip salmon pieces over so skin side is down. Brush tops of salmon evenly with Dijon mustard. Top with pistachio mixture, pressing mixture down onto salmon.

Bake in the preheated oven until salmon flakes easily with a fork, 10 to 12 minutes. Serve with lemon wedges.
"
305,,Spicy Mac and Cheese Soup,,,,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F6322651.jpg,,"['2 (7.25 ounce) packages macaroni and cheese mix', '¼ cup butter', '2 cups chicken broth', '1 (14.5 ounce) can diced tomatoes with green chile peppers', '1 tablespoon garlic powder', '1 teaspoon ground cumin', '1 teaspoon dry mustard powder', '½ teaspoon ground black pepper, or to taste', '1 ½ cups milk', '¾ cup sour cream, divided']",0,6 servings,"          429.5 calories;           14.9 g protein;           53.9 g carbohydrates;           47.3 mg cholesterol;           909.8 mg sodium.        Full Nutrition
",,,,,,"Bring a large pot of lightly salted water to a boil and stir in macaroni from the packages, retaining cheese mix packets for later use. Cook macaroni at a rolling boil over medium heat, stirring occasionally, until tender but still slightly firm, 8 to 10 minutes. Drain and rinse macaroni with cold water. Return cooked macaroni to the pot.

Mix butter, chicken broth, and tomatoes with macaroni and bring mixture to a simmer over medium heat; stir in garlic powder, cumin, dry mustard, pepper, and contents of cheese mix packets. Stir in milk and reduce heat to low; heat soup almost to a simmer. Do not boil.

Serve soup in bowls and top each serving with about 2 tablespoons of sour cream.
"
306,,Unstuffed Cabbage Roll,,,,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F4540812.jpg,,"['2 pounds ground beef', '1 large onion, chopped', '1 small head cabbage, chopped', '2 (14.5 ounce) cans diced tomatoes', '1 (8 ounce) can tomato sauce', '½ cup water', '2 cloves garlic, minced', '2 teaspoons salt', '1 teaspoon ground black pepper']",0,6 servings,"          398.3 calories;           28.5 g protein;           16.3 g carbohydrates;           92.9 mg cholesterol;           1294.3 mg sodium.        Full Nutrition
",,,,,,"Heat a Dutch oven or large skillet over medium-high heat. Cook and stir beef and onion in the hot Dutch oven until browned and crumbly, 5 to 7 minutes; drain and discard grease. Add cabbage, tomatoes, tomato sauce, water, garlic, salt, and pepper and bring to a boil. Cover Dutch oven, reduce heat, and simmer until cabbage is tender, about 30 minutes.
"
307,,Air Fryer BBQ Baby Back Ribs,,,,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F6926466.jpg,,"['3 pounds baby back pork ribs', '1 tablespoon brown sugar', '1 tablespoon white sugar', '1 teaspoon sweet paprika', '1 teaspoon smoked paprika', '1 teaspoon granulated garlic', '½ teaspoon ground black pepper', '½ teaspoon ground cumin', '½ teaspoon granulated onion', '¼ teaspoon Greek seasoning', '⅓ cup barbeque sauce']",0,4 servings,"          614.5 calories;           36.5 g protein;           15.6 g carbohydrates;           175.5 mg cholesterol;           415.1 mg sodium.        Full Nutrition
",,,,,,"Preheat the air fryer to 350 degrees F (175 degrees C).

Strip the membrane from the back of the ribs, cut the ribs into 4 equal portions.

Combine brown sugar, white sugar, sweet paprika, smoked paprika, granulated garlic, pepper, cumin, onion, and Greek seasoning in a small bowl. Rub spice mixture all over the ribs and place in the air fryer basket.

Cook ribs in the air fryer for 30 minutes, turning after 15 minutes. Brush with barbeque sauce and air fry for 5 more minutes.
"
308,,Italian Sausage Stuffed Shells,,,,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F4621239.jpg,,"['1 (16 ounce) package jumbo pasta shells', '3 teaspoons vegetable oil, divided', '1 pound bulk Italian sausage', '1 (16 ounce) package finely shredded mozzarella cheese, divided', '1 teaspoon dried Italian seasoning, plus more for garnish if desired', '1 (24 ounce) jar prepared marinara sauce']",0,8 servings,"          578.2 calories;           30.2 g protein;           57.3 g carbohydrates;           60.3 mg cholesterol;           1171.4 mg sodium.        Full Nutrition
",,,,,,"Preheat oven to 350 degrees F (175 degrees C). Lightly oil a 9x13 baking dish.

Bring a large pot of lightly salted water to a boil. Cook shells in the boiling water, stirring occasionally until tender yet firm to the bite, about 10 to 12 minutes. Drain. Lightly oil a rimmed baking sheet; place drained pasta on baking sheet to cool.

Heat 2 teaspoons vegetable oil over medium-high heat in a heavy skillet. Cook and crumble sausage until it has lost its pink color and begins to brown. Remove from heat; drain off grease.

Stir half of the shredded cheese and the Italian seasoning into the browned sausage. Spoon mixture into the pasta shells (1 to 2 tablespoons per shell). Arrange stuffed shells in prepared baking dish. Pour marinara sauce evenly over the shells. Top with remaining shredded cheese. Cover tightly with aluminum foil.

Bake in preheated oven until heated through and bubbly, about 30 minutes. Remove foil; bake until browned, 5 to 10 more minutes. Sprinkle with a pinch of Italian seasoning, if desired.
"
309,,Honey-Mustard Chicken with Roasted Vegetables,,,,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F2135692.jpg,,"['3 cups peeled and cubed butternut squash', '2 carrots, peeled and cut 1-inch pieces', '1 large parsnip, peeled and cut into 1/2-inch pieces', '1 small sweet potato, peeled and cut into 1/2-inch pieces', '1 small red onion, cut into 1-inch wedges', '2 tablespoons extra-virgin olive oil', '2 teaspoons minced fresh rosemary', '½ teaspoon sea salt', '¼ teaspoon fresh ground black pepper', '4 skinless, boneless chicken breast halves', '¼ teaspoon salt', '1 pinch ground black pepper to taste', '1 tablespoon extra-virgin olive oil', '½ cup low-sodium chicken broth', '¼ cup white wine', '2 tablespoons honey', '2 tablespoons whole-grain mustard']",0,4 servings,"          413.9 calories;           28.2 g protein;           43.4 g carbohydrates;           67.7 mg cholesterol;           586 mg sodium.        Full Nutrition
",,,,,,"Place an 11x17-inch baking sheet in the oven and preheat to 425 degrees F (220 degrees C).

Combine butternut squash, carrots, parsnip, sweet potato, and red onion in a large bowl; add 2 tablespoons olive oil, rosemary, 1/2 teaspoon sea salt, and 1/4 teaspoon pepper and stir to coat. Spread vegetable mixture in a single layer onto the warmed baking sheet from the oven.

Roast vegetables in the preheated oven for 15 minutes; stir and continue roasting until tender, about 15 minutes more.

Pound chicken to 1/2-inch thickness on a work surface; season with 1/4 teaspoon salt and ground black pepper to taste.

Heat 1 tablespoon olive oil in a large skillet over medium heat; cook chicken until no longer pink in the center, about 5 minutes per side. Transfer chicken to a bowl.

Pour chicken broth and wine into the same skillet and bring to a boil while scraping the browned bits of food off of the bottom of the pan with a wooden spoon, about 2 minutes.

Stir honey and mustard into wine mixture; add chicken and turn pieces until coated. Serve chicken alongside roasted vegetables.
"
310,,Super Food Chocolate Chip Cookies,,,,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F4680556.jpg,,"['1 cup packed brown sugar', '1 cup coconut sugar', '½ cup butter, softened', '½ cup coconut oil', '2 eggs', '2 teaspoons vanilla extract', '2 teaspoons hot water', '1 teaspoon baking soda', '½ teaspoon cream of tartar', '3 cups all-purpose flour', '1 cup dark chocolate chips (such as Ghirardelli® 60% Cacao)', '½ cup chopped walnuts', '¼ cup chia seeds', '¼ cup ground flax seeds', '¼ cup cocoa nibs', '½ teaspoon salt']",0,5 dozen cookies,"          106.5 calories;           1.2 g protein;           13.5 g carbohydrates;           10.3 mg cholesterol;           56.7 mg sodium.        Full Nutrition
",,,,,,"Preheat oven to 350 degrees F (175 degrees C). Line a baking sheet with parchment paper.

Beat brown sugar, coconut sugar, butter, and coconut oil with an electric mixer in a large bowl until smooth. Beat the first egg into creamed butter mixture until completely blended; beat in vanilla extract with the last egg.

Stir hot water and baking soda together in a small bowl until baking soda is dissolved; stir into butter mixture. Add cream of tartar and mix well.

Mix flour into butter mixture until dough is smooth; fold in walnuts, chia seeds, flax seeds, cocoa nibs, and salt. Drop dough by rounded tablespoons onto prepared baking sheet.

Bake in the preheated oven until cookies are lightly browned around the edges, about 12 minutes. Transfer cookies to a wire rack to cool.
"
311,,Air Fryer Eggplant Fries,,,,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F6501589.jpg,,"['1 medium eggplant', '½ cup Italian bread crumbs', '¼ cup freshly grated Parmesan cheese', '1 teaspoon Italian seasoning', '1 teaspoon salt', '½ teaspoon dried basil', '½ teaspoon garlic powder', '½ teaspoon onion powder', '½ teaspoon ground black pepper', '¼ cup all-purpose flour', '2 eggs']",0,4 servings,"          180.3 calories;           9.6 g protein;           25.4 g carbohydrates;           97.6 mg cholesterol;           960 mg sodium.        Full Nutrition
",,,,,,"Slice eggplant into 1/2-inch rounds, then cut each round into 1/4-inch sticks. Pat dry.

Combine bread crumbs, Parmesan cheese, Italian seasoning, salt, basil, garlic powder, onion powder, and black pepper in a shallow bowl. Pour flour into a second shallow bowl. Beat eggs in a third bowl.

Dip eggplant sticks in flour, then in beaten eggs, and then coat with bread crumb mixture. Place on a plate and let rest for 5 minutes.

Preheat an air fryer to 370 degrees F (185 degrees C).

Place eggplant sticks in basket, making sure they are not touching; cook in batches if necessary.

Cook in the preheated air fryer for 8 to 10 minutes. Shake basket and continue cooking to desired crispiness, an additional 4 to 6 minutes.
"
312,,"Awesome Sausage, Apple and Cranberry Stuffing",,,,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F764614.jpg,,"['1 ½ cups cubed whole wheat bread', '3 ¾ cups cubed white bread', '1 pound ground turkey sausage', '1 cup chopped onion', '¾ cup chopped celery', '2 ½ teaspoons dried sage', '1 ½ teaspoons dried rosemary', '½ teaspoon dried thyme', '1 Golden Delicious apple, cored and chopped', '¾ cup dried cranberries', '⅓ cup minced fresh parsley', '1 cooked turkey liver, finely chopped', '¾ cup turkey stock', '4 tablespoons unsalted butter, melted']",100,None,"          235 calories;           11.6 g total fat;           80 mg cholesterol;           548 mg sodium.          21.7 g carbohydrates;           12.5 g protein;         Full Nutrition
",,,,,,"Preheat oven to 350 degree F (175 degree C). Spread the white and whole wheat bread cubes in a single layer on a large baking sheet. Bake for 5 to 7 minutes in the preheated oven, or until evenly toasted. Transfer toasted bread cubes to a large bowl.
In a large skillet, cook the sausage and onions over medium heat, stirring and breaking up the lumps until evenly browned. Add the celery, sage, rosemary, and thyme; cook, stirring, for 2 minutes to blend flavors.
Pour sausage mixture over bread in bowl. Mix in chopped apple, dried cranberries, parsley, and liver. Drizzle with turkey stock and melted butter, and mix lightly.  Allow stuffing to cool completely before loosely stuffing a turkey."
313,,Vegetarian Sheet Pan Dinner with Chickpeas and Veggies,,,,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F5934981.jpg,,"['2 (15 ounce) cans chickpeas, rinsed and drained', '½ butternut squash - peeled, seeded, and cut into 1-inch pieces', '1 onion, diced', '1 sweet potato, peeled and cut into 1-inch cubes', '2 large carrots, cut into 1 inch pieces', '3 medium russet potatoes, cut into 1-inch pieces', '3 tablespoons vegetable oil', '1 teaspoon salt', '½ teaspoon ground black pepper', '1 teaspoon onion powder', '1 teaspoon garlic powder', '1 teaspoon ground fennel seeds', '1 teaspoon dried rubbed sage', '2 eaches green onions, chopped']",0,8 servings,"          272.7 calories;           7 g protein;           49.8 g carbohydrates;           0 mg cholesterol;           541.5 mg sodium.        Full Nutrition
",,,,,,"Preheat the oven to 350 degrees F (175 degrees C). Grease a large sheet pan.

Place chickpeas, butternut squash, onion, sweet potato, carrots, and russet potatoes on the prepared sheet pan. Drizzle with vegetable oil and toss to coat.

Combine salt, black pepper, onion powder, garlic powder, ground fennel seeds, and rubbed sage in a bowl. Sprinkle over vegetables on the sheet pan and toss to coat.

Bake in the preheated oven for 25 minutes. Stir and bake until vegetables are soft and lightly browned and chickpeas are slightly crisp, 20 to 25 minutes more. Season with additional salt and black pepper to taste, and top with chopped green onion before serving.
"
314,,Gluten-Free Beer Battered Chicken and Veggies,,,,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F5443080.jpg,,"['1 ½ cups vegetable oil for frying', '1 red bell pepper', '1 onion, cut into 1/4-inch slices', '1 zucchini, cut into 1/4-inch slices', '2 ¾ cups gluten-free all purpose baking flour', '1 tablespoon baking powder', '2 teaspoons salt', '1 cup gluten-free beer', '½ cup sparkling water', '4 eaches skinless, boneless chicken breast halves']",0,4 servings,"          635.4 calories;           29.8 g protein;           84.2 g carbohydrates;           64.6 mg cholesterol;           1747 mg sodium.        Full Nutrition
",,,,,,"Heat vegetable oil in a deep-fryer or large saucepan to 350 degrees F (175 degrees C). Dry sliced bell pepper, onion, and zucchini on a paper towel.

Whisk flour, baking powder, and salt together in a large bowl; add beer and sparkling water. Stir until batter just combined.

Working in batches, dip bell pepper, onion, and zucchini slices into batter, draining excess; fry in preheated oil until golden brown, 2 to 4 minutes per side. Transfer vegetables to a plate lined with paper towels.

Dip chicken breasts into remaining batter and fry in oil until golden brown, about 6 to 8 minutes per side. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C). Drain excess oil on paper towels.
"
315,,Apple-Sage Pork Chops,,,,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F3986790.jpg,,"['2 tablespoons flour', '1 ½ teaspoons dried sage', '1 teaspoon minced garlic', '1 teaspoon ground thyme', '1 teaspoon salt', '½ teaspoon ground allspice', '½ teaspoon paprika', '4 eaches boneless pork chops', '2 tablespoons olive oil', '1 onion, thinly sliced', '2 eaches red apples, thinly sliced', '½ cup apple juice', '1 tablespoon brown sugar']",0,4 servings,"          318.2 calories;           24.6 g protein;           23.5 g carbohydrates;           58.9 mg cholesterol;           620 mg sodium.        Full Nutrition
",,,,,,"Mix flour, sage, garlic, thyme, salt, allspice, and paprika together in a bowl. Sprinkle about 1 tablespoon of the flour mixture over both sides of each pork chop.

Heat olive oil in a large skillet over medium-high heat. Cook pork chops in hot oil until browned completely, 2 to 3 minutes more side. Remove pork chops to a platter.

Cook and stir onion in the oil and drippings retained in the skillet until tender, about 3 minutes; add apple slices and continue cooking until the apple slices are tender, about 2 minutes. Pour apple juice over the onion and apple mixture; add brown sugar and remaining flour mixture and stir to dissolve.

Return pork chops to the skillet. Bring the liquid to a boil, reduce heat to low, and cook at a simmer until the pork is no longer pink in the center, about 5 minutes. An instant-read thermometer inserted into the center should read 145 degrees F (63 degrees C).
"
316,,Keto Open-Faced Chicken Cordon Bleu,,,,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F6528091.jpg,,"['1 pound chicken cutlets, pounded to 1/4-inch thickness', '1 pinch salt and freshly ground black pepper to taste', '2 eggs', '1 teaspoon Dijon mustard', '⅔ cup almond flour', '⅓ cup freshly grated Parmesan cheese', '½ teaspoon garlic powder', '¼ cup avocado oil', '¼ pound shaved deli ham', '1 cup shredded Swiss cheese']",0,4 servings,"          606.2 calories;           46.3 g protein;           6.8 g carbohydrates;           204.2 mg cholesterol;           679.4 mg sodium.        Full Nutrition
",,,,,,"Preheat the oven to 375 degrees F (190 degrees C). Season chicken cutlets with salt and pepper; set aside.

Whisk eggs and Dijon mustard together in a shallow bowl. Combine almond flour, Parmesan cheese, and garlic powder in a separate shallow bowl. Dip chicken cutlets into egg mixture, letting excess drip off. Dredge with almond flour mixture, then set on a plate.

Heat oil in a large skillet over medium-high heat. Add chicken cutlets and cook until golden brown, 3 to 4 minutes. Flip over and cook until chicken is no longer pink inside and the juices are running clear, 3 to 4 minutes more.

Place chicken cutlets on a baking sheet. Top with slices of ham and cover with shredded Swiss cheese.

Bake in the preheated oven until cheese has melted, 4 to 5 minutes. Serve immediately.
"
317,,Beer Mustard,,,,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F4509400.jpg,,"['¾ cup brown mustard seeds', '¼ cup yellow mustard seeds', '1 cup dark beer, or as needed', '2 cloves garlic, minced', '½ cup apple cider vinegar', '2 tablespoons brown sugar', '1 teaspoon salt', '½ teaspoon ground black pepper', '3 eaches half pint canning jars with lids and rings']",0,3 half-pint jars,"          20.6 calories;           1 g protein;           2.1 g carbohydrates;           0 mg cholesterol;           49 mg sodium.        Full Nutrition
",,,,,,"Soak brown and yellow mustard seeds with dark beer in a large bowl set in the refrigerator for 24 hours. If the seeds soak up the beer too quickly, add more beer.

Transfer the soaked mustard seeds to a food processor along with garlic, apple cider vinegar, brown sugar, salt, and black pepper. Pulse until desired consistency is reached.

Sterilize the jars and lids in boiling water for at least 5 minutes.

Pack the mustard into the hot, sterilized jars, filling the jars to within 1/4 inch of the top.

Run a knife or a thin spatula around the insides of the jars after they have been filled to remove any air bubbles.

Wipe the rims of the jars with a moist paper towel to remove any food residue. Top with lids, and screw on rings.

Refrigerate the jars of mustard for 2 weeks before using.
"
